2020-11-22 19:57:08,558 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-22 19:57:08,572 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2020-11-22 19:57:08,608 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-22 19:57:08,620 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-22 19:57:08,621 [Worker-61] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ORSProject4
2020-11-22 19:57:08,621 [Worker-61] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ORSProject4
2020-11-22 19:57:08,629 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-22 23:57:33,153 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-22 23:57:33,224 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-11-22 23:57:33,245 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-22 23:57:33,280 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-23 00:15:16,809 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:15:16,845 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-23 00:15:16,849 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:15:16,880 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-23 00:15:41,297 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:15:41,329 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-23 00:15:41,332 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:15:41,362 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-23 00:15:52,784 [Worker-89] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:15:52,814 [Worker-89] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-23 00:15:52,818 [Worker-89] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:15:52,841 [Worker-89] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-23 00:16:06,377 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:16:06,408 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-23 00:16:06,413 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:16:06,439 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-23 00:16:27,470 [Worker-89] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:16:27,504 [Worker-89] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-23 00:16:27,508 [Worker-89] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:16:27,536 [Worker-89] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-23 00:16:42,575 [Worker-91] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:16:42,600 [Worker-91] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-23 00:16:42,602 [Worker-91] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:16:42,627 [Worker-91] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-23 00:17:00,832 [Worker-89] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:17:00,859 [Worker-89] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-23 00:17:00,865 [Worker-89] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 00:17:00,898 [Worker-89] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-23 00:17:20,078 [Worker-91] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
